iter	Passed	Remaining
0	1	147
1	2	144
2	4	151
3	5	138
4	7	144
5	9	143
6	10	141
7	12	140
8	13	139
9	15	138
10	16	135
11	18	134
12	19	133
13	21	131
14	22	128
15	24	127
16	25	126
17	27	125
18	28	123
19	30	121
20	32	120
21	33	119
22	35	118
23	36	117
24	38	115
25	40	114
26	41	113
27	43	111
28	44	109
29	46	108
30	48	107
31	49	106
32	51	104
33	53	103
34	54	101
35	56	100
36	57	98
37	59	97
38	61	96
39	63	95
40	65	94
41	66	91
42	67	89
43	69	87
44	70	86
45	71	84
46	73	82
47	75	81
48	76	79
49	78	78
50	79	76
51	81	74
52	82	73
53	84	71
54	84	69
55	86	67
56	88	66
57	89	64
58	90	63
59	92	61
60	93	59
61	95	58
62	96	56
63	98	55
64	99	53
65	101	52
66	103	50
67	104	49
68	105	47
69	107	46
70	109	44
71	110	42
72	112	41
73	113	39
74	114	38
75	116	36
76	118	35
77	120	33
78	121	32
79	123	30
80	125	29
81	126	27
82	128	26
83	130	24
84	132	23
85	134	21
86	135	20
87	137	18
88	138	17
89	140	15
90	142	14
91	144	12
92	145	10
93	147	9
94	148	7
95	150	6
96	151	4
97	153	3
98	154	1
99	156	0
